train_acc,train_loss,lr,test_acc,test_loss
0.78,0.40385215759277343,5e-05,0.74,0.49935379028320315
0.79,0.40416488647460935,5e-05,0.74,0.4995237731933594
0.78,0.40331661224365234,5e-05,0.74,0.49867141723632813
0.79,0.40286956787109374,5e-05,0.74,0.500216293334961
0.79,0.4026580047607422,5e-05,0.74,0.4987152099609375
0.79,0.40130809783935545,5e-05,0.74,0.5004766082763672
0.79,0.40208988189697265,5e-05,0.73,0.5051434326171875
0.8,0.4026284408569336,5e-05,0.73,0.5069417572021484
0.8,0.4018483352661133,5e-05,0.72,0.5034465026855469
0.79,0.40302310943603514,5e-05,0.74,0.4983083724975586
0.79,0.40082286834716796,5e-05,0.74,0.49731758117675784
0.78,0.40072738647460937,5e-05,0.73,0.4949465560913086
0.78,0.3978804779052734,5e-05,0.73,0.49870834350585935
0.79,0.39898189544677737,5e-05,0.74,0.4973677825927734
0.79,0.4011447143554687,5e-05,0.74,0.49540760040283205
0.79,0.39745689392089845,5e-05,0.74,0.4975390243530273
0.79,0.3973994827270508,5e-05,0.74,0.4994306945800781
0.8,0.39941131591796875,5e-05,0.73,0.4966304397583008
0.8,0.3975238418579102,5e-05,0.73,0.4972578811645508
0.79,0.3969248199462891,5e-05,0.74,0.49285594940185545
0.78,0.3961395263671875,5e-05,0.74,0.49302738189697265
0.78,0.3946323776245117,5e-05,0.74,0.49310409545898437
0.79,0.3943944549560547,5e-05,0.74,0.4955866241455078
0.79,0.3941382598876953,5e-05,0.73,0.49953025817871094
0.79,0.3932950973510742,5e-05,0.74,0.49714275360107424
0.78,0.39422920227050784,5e-05,0.74,0.49222808837890625
0.78,0.3955537796020508,5e-05,0.73,0.4943129730224609
0.79,0.3927970123291016,5e-05,0.74,0.4919033432006836
0.79,0.39105819702148437,5e-05,0.74,0.4930529022216797
0.79,0.3900445938110352,5e-05,0.74,0.49480026245117187
0.78,0.3905921936035156,5e-05,0.73,0.49267642974853515
0.78,0.39072647094726565,5e-05,0.74,0.4935732650756836
0.79,0.39034332275390626,5e-05,0.74,0.4934346008300781
0.8,0.38900875091552733,5e-05,0.73,0.49302490234375
0.79,0.3900355911254883,5e-05,0.74,0.48767078399658204
0.79,0.38852390289306643,5e-05,0.74,0.48782341003417967
0.79,0.38678932189941406,5e-05,0.74,0.4885730743408203
0.8,0.3884328460693359,5e-05,0.74,0.48805206298828124
0.79,0.3865866470336914,5e-05,0.73,0.49069938659667967
0.82,0.3892905807495117,5e-05,0.72,0.49726524353027346
0.8,0.387360725402832,5e-05,0.74,0.488686637878418
0.78,0.38802093505859375,5e-05,0.73,0.48939266204833987
0.78,0.3856180191040039,5e-05,0.74,0.4870277786254883
0.78,0.3871464157104492,5e-05,0.74,0.48598995208740237
0.8,0.38637489318847656,5e-05,0.74,0.4860283660888672
0.8,0.3857771682739258,5e-05,0.74,0.4851835632324219
0.78,0.3833020782470703,5e-05,0.74,0.48598011016845705
0.79,0.3818986129760742,5e-05,0.74,0.48673187255859374
0.78,0.3850802993774414,5e-05,0.74,0.48386531829833984
0.78,0.3829072570800781,5e-05,0.74,0.48444534301757813
0.8,0.3822554779052734,5e-05,0.73,0.4843467330932617
0.8,0.3869357681274414,5e-05,0.74,0.4804634475708008
0.8,0.3809210205078125,5e-05,0.73,0.4851243591308594
0.79,0.3803460693359375,5e-05,0.73,0.48853023529052736
0.82,0.3870053482055664,5e-05,0.72,0.49379772186279297
0.8,0.3813881301879883,5e-05,0.73,0.49073543548583987
0.79,0.38153167724609377,5e-05,0.73,0.4939213562011719
0.8,0.3789418411254883,5e-05,0.73,0.48560611724853514
0.79,0.378519287109375,5e-05,0.74,0.4846683120727539
0.79,0.3800522994995117,5e-05,0.73,0.4842646026611328
0.8,0.3776650238037109,5e-05,0.73,0.486138801574707
0.81,0.37786758422851563,5e-05,0.74,0.48205482482910156
0.79,0.3761878967285156,5e-05,0.74,0.4840985107421875
0.78,0.3778341293334961,5e-05,0.74,0.48201709747314453
0.8,0.37646095275878905,5e-05,0.73,0.4873480224609375
0.81,0.3741904830932617,5e-05,0.74,0.4829621124267578
0.79,0.3747482681274414,5e-05,0.73,0.4823626708984375
0.79,0.3821830749511719,5e-05,0.74,0.47939620971679686
0.81,0.3732880020141602,5e-05,0.75,0.478831901550293
