train_acc,train_loss,lr,test_acc,test_loss
0.85,0.4870128154754639,5e-05,0.85,0.5045283794403076
0.8,0.4857936859130859,5e-05,0.9,0.5034763813018799
0.8,0.48548073768615724,5e-05,0.9,0.5028716087341308
0.8,0.4808755874633789,5e-05,0.9,0.4973783493041992
0.8,0.483160400390625,5e-05,0.9,0.501972246170044
0.8,0.4873866081237793,5e-05,0.9,0.5103527545928955
0.8,0.48474969863891604,5e-05,0.9,0.5043367862701416
0.8,0.48408031463623047,5e-05,0.9,0.5033345222473145
0.8,0.48502469062805176,5e-05,0.9,0.5069219589233398
0.8,0.4842958450317383,5e-05,0.9,0.5095082283020019
0.8,0.4842371940612793,5e-05,0.9,0.5091442108154297
0.85,0.48599863052368164,5e-05,0.85,0.5082911491394043
0.8,0.4851070404052734,5e-05,0.9,0.5076364994049072
0.85,0.4886771678924561,5e-05,0.85,0.5175921440124511
0.8,0.48552441596984863,5e-05,0.9,0.5079893589019775
0.8,0.4804251670837402,5e-05,0.9,0.49718489646911623
0.8,0.4796548843383789,5e-05,0.9,0.4967194557189941
0.85,0.4832139015197754,5e-05,0.9,0.5069032669067383
0.85,0.4824992179870605,5e-05,0.9,0.5092048168182373
0.85,0.48663153648376467,5e-05,0.85,0.513853645324707
0.8,0.48212580680847167,5e-05,0.9,0.5049904346466064
0.8,0.48351755142211916,5e-05,0.9,0.5054202079772949
0.8,0.48172874450683595,5e-05,0.9,0.5044699668884277
0.8,0.480487585067749,5e-05,0.9,0.5066851139068603
0.85,0.479183292388916,5e-05,0.9,0.5038407325744629
0.8,0.4812302589416504,5e-05,0.9,0.5072806358337403
0.85,0.486652135848999,5e-05,0.85,0.5181694984436035
0.85,0.4901756286621094,5e-05,0.85,0.5205031394958496
0.8,0.48639869689941406,5e-05,0.9,0.5105186462402344
0.8,0.4859021186828613,5e-05,0.9,0.5066855430603028
0.8,0.4818093776702881,5e-05,0.9,0.5067176342010498
0.8,0.4763637542724609,5e-05,0.9,0.49358320236206055
0.85,0.4837516784667969,5e-05,0.85,0.5078660488128662
0.8,0.4822777271270752,5e-05,0.9,0.5043916225433349
0.85,0.4842379570007324,5e-05,0.9,0.5103388786315918
0.85,0.4933491230010986,5e-05,0.85,0.52639799118042
